This .csv file has been created as a one-off extraction on 2020-08-20.

Some users have been differencing the data_covid19_msis_by_location_YYYY-MM-DD
data series to create "municipality-level time-series". These users have requested
that we provide historical data to bridge the gap between 2020-02-28 and data_covid19_msis_by_location_2020-06-04

This dataset fulfills that request.

An example of interpreting the data correctly follows below.

When we look at Oslo (municip0301) we find the following values:
data_covid19_msis_by_location_2020-06-19.csv (i.e. a snapshot of MSIS at 2020-06-19 00:00)
n = 2802

data_covid19_msis_by_location_2020-06-18.csv (i.e. a snapshot of MSIS at 2020-06-18 00:00)
n = 2797

We can therefore conclude that 5 people from Oslo were registered in MSIS on 2020-06-18.

This is confirmed in this dataset below: 2020-06-18,municip0301,5

It is important to note that differencing the data_covid19_msis_by_location_YYYY-MM-DD
data series (and by using this historical dataset) will create a time-series where
the data corresponds to "number of people registered in MSIS on this date".

This is not the same as the time-series provided in the data_covid19_msis_by_time_location_YYYY-MM-DD
time series, where "date" represents "proevetakingsdato" (i.e. the date when the test was taken, which is
a better epidemiological proxy for tracking the progress of an outbreak).

registration_date,location_code,n_registered_on_this_date_in_msis
2020-06-03,municip1106,0
2020-06-04,municip1106,0
2020-06-05,municip1106,0
2020-06-06,municip1106,0
2020-06-07,municip1106,0
2020-06-08,municip1106,0
2020-06-09,municip1106,0
2020-06-10,municip1106,0
2020-06-11,municip1106,0
2020-06-12,municip1106,0
2020-06-13,municip1106,0
2020-06-14,municip1106,0
2020-06-15,municip1106,0
2020-06-16,municip1106,0
2020-06-17,municip1106,0
2020-06-18,municip1106,0
2020-06-19,municip1106,0
2020-06-20,municip1106,0
2020-06-21,municip1106,0
2020-06-22,municip1106,0
2020-06-23,municip1106,0
2020-06-24,municip1106,0
2020-06-25,municip1106,0
2020-06-26,municip1106,0
2020-06-27,municip1106,0
2020-06-28,municip1106,0
2020-06-29,municip1106,0
2020-06-30,municip1106,0
2020-07-01,municip1106,0
2020-07-02,municip1106,0
2020-07-03,municip1106,0
2020-07-04,municip1106,0
2020-07-05,municip1106,0
2020-07-06,municip1106,0
2020-07-07,municip1106,0
2020-07-08,municip1106,0
2020-07-09,municip1106,0
2020-07-10,municip1106,0
2020-07-11,municip1106,1
2020-07-12,municip1106,0
2020-07-13,municip1106,2
2020-07-14,municip1106,0
2020-07-15,municip1106,0
2020-07-16,municip1106,0
2020-07-17,municip1106,0
2020-07-18,municip1106,0
2020-07-19,municip1106,0
2020-07-20,municip1106,0
2020-07-21,municip1106,1
2020-07-22,municip1106,0
2020-07-23,municip1106,0
2020-07-24,municip1106,0
2020-07-25,municip1106,0
