granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name
total,municip,municip3432,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,26,0,1.31645569620253,0,1975,Lesja
total,municip,municip3433,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,29,0,1.31998179335457,0,2197,Skjåk
total,municip,municip3434,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,33,0,1.48114901256733,0,2228,Lom
total,municip,municip3435,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,60,0,1.68067226890756,0,3570,Vågå
total,municip,municip3436,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,95,1,1.65996854796435,0.0174733531364669,5723,Nord-Fron
total,municip,municip3437,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,96,23,1.67276529012023,0.400766684091305,5739,Sel
total,municip,municip3438,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,63,18,2.01987816607887,0.577108047451106,3119,Sør-Fron
total,municip,municip3439,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,80,18,1.82149362477231,0.409836065573771,4392,Ringebu
total,municip,municip3440,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,90,0,1.76470588235294,0,5100,Øyer
total,municip,municip3441,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,104,1,1.70324271208647,0.0163773337700622,6106,Gausdal
total,municip,municip3442,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,289,0,1.93014092032325,0,14973,Østre-Toten
total,municip,municip3443,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,154,0,1.14694272734043,0,13427,Vestre-Toten
total,municip,municip3446,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,166,29,1.21790168745415,0.212765957446809,13630,Gran
total,municip,municip3447,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,94,0,1.67349118746662,0,5617,Søndre Land
total,municip,municip3448,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,100,0,1.50761344791196,0,6633,Nordre Land
total,municip,municip3449,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,43,0,1.45565335138795,0,2954,Sør-Aurdal
total,municip,municip3450,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16,0,1.25097732603597,0,1279,Etnedal
total,municip,municip3451,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,108,0,1.68407921409637,0,6413,Nord-Aurdal
total,municip,municip3452,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27,0,1.27058823529412,0,2125,Vestre-Slidre
total,municip,municip3453,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,51,0,1.57943635800557,0,3229,Øystre-Slidre
total,municip,municip3454,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,30,0,1.90114068441065,0,1578,Vang
total,municip,municip3801,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,451,0,1.64893422543966,0,27351,Horten
total,municip,municip3802,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,369,0,1.49398761083445,0,24699,Holmestrand
total,municip,municip3803,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1035,0,1.83859449665145,0,56293,Tønsberg
total,municip,municip3804,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,926,0,1.45223009848818,0,63764,Sandefjord
total,municip,municip3805,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,777,29,1.64604694517414,0.0614354715702059,47204,Larvik
total,municip,municip3806,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,605,30,1.66222490864632,0.0824243756353546,36397,Porsgrunn
total,municip,municip3807,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1014,0,1.84558261439336,0,54942,Skien
