granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4974,4739,4077,1204,85,81,69.7,20.6,5849,Surnadal,2022-10-19
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1788,1723,1404,230,84.3,81.3,66.2,10.8,2120,Smøla,2022-10-19
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2808,2677,2192,461,83,79.1,64.8,13.6,3384,Aure,2022-10-19
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8797,8270,6656,1374,81.4,76.5,61.6,12.7,10809,Volda,2022-10-19
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2082,1941,1618,516,83.6,77.9,65,20.7,2491,Fjord,2022-10-19
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10533,9850,7708,1688,79.3,74.1,58,12.7,13287,Hustadvika,2022-10-19
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,42799,39914,29084,5008,81.1,75.6,55.1,9.5,52803,Bodø,2022-10-19
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17457,16473,12349,4118,81.1,76.5,57.4,19.1,21530,Narvik,2022-10-19
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1159,1078,867,255,82.4,76.7,61.7,18.1,1406,Bindal,2022-10-19
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1666,1558,1159,244,84.1,78.6,58.5,12.3,1981,Sømna,2022-10-19
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6340,5881,4253,569,81.5,75.6,54.7,7.3,7777,Brønnøy,2022-10-19
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1012,938,806,258,86.1,79.8,68.6,22,1175,Vega,2022-10-19
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,370,354,279,75,80.1,76.6,60.4,16.2,462,Vevelstad,2022-10-19
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1392,1305,1041,224,76.3,71.5,57,12.3,1825,Herøy,2022-10-19
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5990,5653,4363,601,81.7,77.1,59.5,8.2,7333,Alstahaug,2022-10-19
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1766,1645,1249,341,78.2,72.9,55.3,15.1,2257,Leirfjord,2022-10-19
