granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4137,2398,66.2,38.4,6247,Meløy,2021-08-11
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1308,807,68.1,42,1920,Gildeskål,2021-08-11
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,762,476,76.3,47.6,999,Beiarn,2021-08-11
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3043,1862,65.7,40.2,4632,Saltdal,2021-08-11
total,municip,municip1841,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6845,4082,71,42.3,9640,Fauske,2021-08-11
total,municip,municip1845,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1299,681,67.9,35.6,1912,Sørfold,2021-08-11
total,municip,municip1848,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1753,959,67.8,37.1,2586,Steigen,2021-08-11
total,municip,municip1851,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1441,903,71.9,45.1,2003,Lødingen,2021-08-11
total,municip,municip1853,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,916,592,69.2,44.7,1324,Evenes,2021-08-11
total,municip,municip1856,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,377,180,77.3,36.9,488,Røst,2021-08-11
total,municip,municip1857,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,459,268,65.8,38.4,698,Værøy,2021-08-11
total,municip,municip1859,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,864,538,69.8,43.5,1238,Flakstad,2021-08-11
total,municip,municip1860,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7693,4003,66.8,34.7,11521,Vestvågøy,2021-08-11
total,municip,municip1865,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6116,3787,63.2,39.2,9670,Vågan,2021-08-11
total,municip,municip1866,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5521,3875,68.5,48,8065,Hadsel,2021-08-11
total,municip,municip1867,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1849,1002,71.8,38.9,2576,Bø,2021-08-11
total,municip,municip1868,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2963,1664,67.1,37.7,4416,Øksnes,2021-08-11
total,municip,municip1870,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7117,3929,67.7,37.4,10514,Sortland,2021-08-11
total,municip,municip1871,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3165,1978,69,43.1,4588,Andøy,2021-08-11
total,municip,municip1874,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,671,463,67.8,46.8,989,Moskenes,2021-08-11
total,municip,municip1875,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1875,1108,69.4,41,2701,Hamarøy,2021-08-11
total,municip,municip3001,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22098,12671,70.4,40.4,31387,Halden,2021-08-11
total,municip,municip3002,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,36164,20186,72.8,40.6,49668,Moss,2021-08-11
total,municip,municip3003,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,41812,26598,72.9,46.4,57372,Sarpsborg,2021-08-11
total,municip,municip3004,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,59033,34849,71,41.9,83193,Fredrikstad,2021-08-11
total,municip,municip3005,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,69869,32029,68.6,31.4,101859,Drammen,2021-08-11
total,municip,municip3006,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19415,11201,70.1,40.4,27694,Kongsberg,2021-08-11
total,municip,municip3007,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21892,12505,71,40.6,30835,Ringerike,2021-08-11
total,municip,municip3011,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3640,2158,77.5,46,4694,Hvaler,2021-08-11
total,municip,municip3012,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1004,624,75.8,47.1,1325,Aremark,2021-08-11
total,municip,municip3013,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2716,1599,75.4,44.4,3601,Marker,2021-08-11
total,municip,municip3014,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,29932,15729,66.2,34.8,45201,Indre Østfold,2021-08-11
total,municip,municip3015,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2661,1542,69.6,40.3,3825,Skiptvet,2021-08-11
total,municip,municip3016,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5850,3615,71.2,44,8222,Rakkestad,2021-08-11
total,municip,municip3017,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5358,2796,70.8,36.9,7568,Råde,2021-08-11
total,municip,municip3018,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3920,2007,67.5,34.6,5805,Våler,2021-08-11
total,municip,municip3019,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12240,6010,66.9,32.9,18290,Vestby,2021-08-11
total,municip,municip3020,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,41649,21456,69.4,35.7,60034,Nordre Follo,2021-08-11
total,municip,municip3021,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13678,6019,66.9,29.4,20439,Ås,2021-08-11
total,municip,municip3022,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11476,6958,71.9,43.6,15953,Frogn,2021-08-11
total,municip,municip3023,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13247,7243,66.9,36.6,19805,Nesodden,2021-08-11
total,municip,municip3024,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,89723,42307,70,33,128233,Bærum,2021-08-11
total,municip,municip3025,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,65512,34747,69,36.6,94915,Asker,2021-08-11
total,municip,municip3026,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12275,7293,69.8,41.5,17591,Aurskog-Høland,2021-08-11
total,municip,municip3027,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12495,7619,66.7,40.7,18730,Rælingen,2021-08-11
total,municip,municip3028,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7592,3502,68.6,31.6,11065,Enebakk,2021-08-11
total,municip,municip3029,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,29802,15260,69.7,35.7,42740,Lørenskog,2021-08-11
total,municip,municip3030,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60003,28763,69,33.1,86953,Lillestrøm,2021-08-11
total,municip,municip3031,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17303,7725,70.8,31.6,24454,Nittedal,2021-08-11
total,municip,municip3032,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4720,2392,67,34,7043,Gjerdrum,2021-08-11
total,municip,municip3033,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26805,19432,66.3,48,40459,Ullensaker,2021-08-11
total,municip,municip3034,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,16028,8155,68.4,34.8,23422,Nes,2021-08-11
total,municip,municip3035,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18115,9188,69.6,35.3,26031,Eidsvoll,2021-08-11
total,municip,municip3036,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9864,5019,67.4,34.3,14637,Nannestad,2021-08-11
total,municip,municip3037,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1980,1081,69.8,38.1,2838,Hurdal,2021-08-11
total,municip,municip3038,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4452,2489,65.4,36.5,6811,Hole,2021-08-11
total,municip,municip3039,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,759,384,72.4,36.6,1049,Flå,2021-08-11
total,municip,municip3040,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2324,1268,71.2,38.9,3262,Nesbyen,2021-08-11
total,municip,municip3041,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3254,1614,70.2,34.8,4636,Gol,2021-08-11
total,municip,municip3042,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1671,786,65.6,30.9,2546,Hemsedal,2021-08-11
total,municip,municip3043,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3217,1676,69.2,36.1,4648,Ål,2021-08-11
total,municip,municip3044,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2985,1572,67.3,35.5,4434,Hol,2021-08-11
total,municip,municip3045,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2465,1733,71.1,50,3465,Sigdal,2021-08-11
total,municip,municip3046,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1520,917,68.5,41.3,2219,Krødsherad,2021-08-11
total,municip,municip3047,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9963,6081,70.3,42.9,14166,Modum,2021-08-11
total,municip,municip3048,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13067,7389,66.3,37.5,19709,Øvre Eiker,2021-08-11
total,municip,municip3049,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18590,8901,68.6,32.8,27118,Lier,2021-08-11
total,municip,municip3050,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1852,1229,68.3,45.3,2713,Flesberg,2021-08-11
total,municip,municip3051,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1032,509,74.5,36.7,1386,Rollag,2021-08-11
total,municip,municip3052,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1642,926,68.1,38.4,2412,Nore og Uvdal,2021-08-11
total,municip,municip3053,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4894,2827,71.3,41.2,6867,Jevnaker,2021-08-11
total,municip,municip3054,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6173,3561,68.1,39.3,9062,Lunner,2021-08-11
total,municip,municip3401,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13025,8317,73,46.6,17851,Kongsvinger,2021-08-11
total,municip,municip3403,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22972,11675,72.9,37.1,31509,Hamar,2021-08-11
total,municip,municip3405,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20737,11052,72.8,38.8,28493,Lillehammer,2021-08-11
total,municip,municip3407,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21330,10929,70.2,36,30395,Gjøvik,2021-08-11
total,municip,municip3411,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,24147,12066,69.2,34.6,34897,Ringsaker,2021-08-11
total,municip,municip3412,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5376,3072,70.5,40.3,7625,Løten,2021-08-11
total,municip,municip3413,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14636,7784,69.5,36.9,21072,Stange,2021-08-11
total,municip,municip3414,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3690,2216,73.2,44,5038,Nord-Odal,2021-08-11
total,municip,municip3415,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5489,3331,69.4,42.1,7914,Sør-Odal,2021-08-11
total,municip,municip3416,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4740,3135,77.7,51.4,6099,Eidskog,2021-08-11
total,municip,municip3417,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3366,2105,74.1,46.3,4545,Grue,2021-08-11
total,municip,municip3418,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5245,3232,72.6,44.7,7227,Åsnes,2021-08-11
total,municip,municip3419,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2600,1634,72.5,45.6,3587,Våler,2021-08-11
total,municip,municip3420,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15115,8801,71,41.3,21292,Elverum,2021-08-11
total,municip,municip3421,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4891,3062,74.3,46.5,6580,Trysil,2021-08-11
total,municip,municip3422,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3089,1867,71.2,43,4338,Åmot,2021-08-11
total,municip,municip3423,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1664,1044,70,43.9,2378,Stor-Elvdal,2021-08-11
total,municip,municip3424,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1320,777,75.8,44.6,1741,Rendalen,2021-08-11
total,municip,municip3425,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,937,519,75,41.5,1250,Engerdal,2021-08-11
total,municip,municip3426,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1072,566,68.6,36.2,1563,Tolga,2021-08-11
total,municip,municip3427,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4030,2315,72.8,41.8,5537,Tynset,2021-08-11
total,municip,municip3428,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1728,923,71.9,38.4,2405,Alvdal,2021-08-11
total,municip,municip3429,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1151,634,75.8,41.8,1518,Folldal,2021-08-11
total,municip,municip3430,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1363,705,72.9,37.7,1870,Os,2021-08-11
total,municip,municip3431,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1665,953,66.3,37.9,2512,Dovre,2021-08-11
total,municip,municip3432,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1354,666,68.4,33.6,1980,Lesja,2021-08-11
total,municip,municip3433,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1538,855,70.5,39.2,2183,Skjåk,2021-08-11
total,municip,municip3434,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1712,895,77.7,40.6,2204,Lom,2021-08-11
total,municip,municip3435,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2413,1271,67.7,35.7,3564,Vågå,2021-08-11
total,municip,municip3436,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3480,2236,61,39.2,5705,Nord-Fron,2021-08-11
total,municip,municip3437,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3887,2086,69.5,37.3,5592,Sel,2021-08-11
total,municip,municip3438,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2041,1049,66.6,34.2,3064,Sør-Fron,2021-08-11
total,municip,municip3439,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3124,1818,70.9,41.2,4408,Ringebu,2021-08-11
total,municip,municip3440,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3324,1885,65.3,37,5093,Øyer,2021-08-11
total,municip,municip3441,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4406,2162,73.2,35.9,6023,Gausdal,2021-08-11
total,municip,municip3442,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10326,5750,69.4,38.7,14871,Østre Toten,2021-08-11
total,municip,municip3443,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9339,4820,69.4,35.8,13459,Vestre Toten,2021-08-11
total,municip,municip3446,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9546,5327,70.1,39.1,13611,Gran,2021-08-11
total,municip,municip3447,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4091,2216,73.3,39.7,5579,Søndre Land,2021-08-11
total,municip,municip3448,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4781,2392,72.6,36.3,6581,Nordre Land,2021-08-11
