granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-10,0,3
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-11,0,1
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-12,0,0
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-13,1,0
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-14,0,1
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-15,0,3
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-16,0,2
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-17,0,1
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-18,0,1
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-19,0,1
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-20,0,3
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-21,1,3
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-22,0,2
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-23,0,1
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-24,0,3
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-25,0,1
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-26,0,2
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-27,0,3
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-28,1,2
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-29,0,1
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-30,0,0
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-08-31,0,1
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-01,0,1
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-02,0,2
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-03,0,2
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-04,0,2
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-05,1,0
day,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-06,0,2
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-07,0,4
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-08,0,3
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-09,0,4
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-10,0,4
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-11,0,3
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-12,1,2
day,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-13,1,1
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-14,0,6
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-15,1,0
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-16,0,4
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-17,0,2
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-18,0,2
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-19,0,5
