location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name
municip3050,1900-01-01,24,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2688,892.857142857143,Flesberg
municip3051,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1390,359.712230215827,Rollag
municip3052,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2439,205.0020500205,Nore og Uvdal
municip3053,1900-01-01,72,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6852,1050.7880910683,Jevnaker
municip3054,1900-01-01,85,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9048,939.434129089302,Lunner
municip3401,1900-01-01,188,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,17829,1054.46183184699,Kongsvinger
municip3403,1900-01-01,378,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,31369,1205.01131690523,Hamar
municip3405,1900-01-01,325,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,28345,1146.58669959428,Lillehammer
municip3407,1900-01-01,278,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,30560,909.685863874346,Gjøvik
municip3411,1900-01-01,343,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,34768,986.539346525541,Ringsaker
municip3412,1900-01-01,78,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7674,1016.41907740422,Løten
municip3413,1900-01-01,190,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,21064,902.012913026965,Stange
municip3414,1900-01-01,24,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5016,478.468899521531,Nord-Odal
municip3415,1900-01-01,70,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7905,885.515496521189,Sør-Odal
municip3416,1900-01-01,58,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6106,949.885358663609,Eidskog
municip3417,1900-01-01,34,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4612,737.207285342585,Grue
municip3418,1900-01-01,36,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7203,499.791753436068,Åsnes
municip3419,1900-01-01,65,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3662,1774.98634625887,Våler
municip3420,1900-01-01,171,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,21254,804.554436811894,Elverum
municip3421,1900-01-01,79,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6627,1192.09295307077,Trysil
municip3422,1900-01-01,12,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4356,275.482093663912,Åmot
municip3423,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2419,289.375775113683,Stor-Elvdal
municip3424,1900-01-01,3,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1780,168.539325842697,Rendalen
municip3425,1900-01-01,12,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1268,946.372239747634,Engerdal
municip3426,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1562,64.0204865556978,Tolga
municip3427,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5578,143.420580853352,Tynset
municip3428,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2432,205.592105263158,Alvdal
municip3429,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1545,64.7249190938511,Folldal
municip3430,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1891,52.8820729772607,Os
municip3431,1900-01-01,9,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2553,352.526439482961,Dovre
municip3432,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1975,202.53164556962,Lesja
municip3433,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2197,182.066454255803,Skjåk
municip3434,1900-01-01,12,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2228,538.599640933573,Lom
municip3435,1900-01-01,36,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3570,1008.40336134454,Vågå
municip3436,1900-01-01,143,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5723,2498.68949851477,Nord-Fron
municip3437,1900-01-01,55,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5739,958.355114131382,Sel
municip3438,1900-01-01,93,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3119,2981.72491183072,Sør-Fron
municip3439,1900-01-01,22,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4392,500.910746812386,Ringebu
municip3440,1900-01-01,29,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5100,568.627450980392,Øyer
municip3441,1900-01-01,37,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6106,605.961349492303,Gausdal
municip3442,1900-01-01,88,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14973,587.724570894276,Østre-Toten
municip3443,1900-01-01,86,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13427,640.500484099203,Vestre-Toten
municip3446,1900-01-01,62,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13630,454.87894350697,Gran
municip3447,1900-01-01,35,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5617,623.108420865231,Søndre Land
municip3448,1900-01-01,65,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6633,979.948741142771,Nordre Land
municip3449,1900-01-01,13,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2954,440.08124576845,Sør-Aurdal
municip3450,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1279,156.372165754496,Etnedal
municip3451,1900-01-01,19,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6413,296.273195072509,Nord-Aurdal
municip3452,1900-01-01,15,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2125,705.882352941176,Vestre-Slidre
municip3453,1900-01-01,12,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3229,371.632084236606,Øystre-Slidre
municip3454,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1578,63.3713561470216,Vang
municip3801,1900-01-01,107,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27351,391.21055902892,Horten
municip3802,1900-01-01,181,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,24699,732.823191222317,Holmestrand
