granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
week,nation,norge,2020,80-89,male,2020,12,2020-12,2019/2020,35,2020-03-22,35,2022-03-03
week,nation,norge,2020,90+,female,2020,12,2020-12,2019/2020,35,2020-03-22,8,2022-03-03
week,nation,norge,2020,90+,male,2020,12,2020-12,2019/2020,35,2020-03-22,6,2022-03-03
week,nation,norge,2020,0-9,female,2020,13,2020-13,2019/2020,36,2020-03-29,13,2022-03-03
week,nation,norge,2020,0-9,male,2020,13,2020-13,2019/2020,36,2020-03-29,6,2022-03-03
week,nation,norge,2020,10-19,female,2020,13,2020-13,2019/2020,36,2020-03-29,32,2022-03-03
week,nation,norge,2020,10-19,male,2020,13,2020-13,2019/2020,36,2020-03-29,34,2022-03-03
week,nation,norge,2020,20-29,female,2020,13,2020-13,2019/2020,36,2020-03-29,140,2022-03-03
week,nation,norge,2020,20-29,male,2020,13,2020-13,2019/2020,36,2020-03-29,91,2022-03-03
week,nation,norge,2020,30-39,female,2020,13,2020-13,2019/2020,36,2020-03-29,125,2022-03-03
week,nation,norge,2020,30-39,male,2020,13,2020-13,2019/2020,36,2020-03-29,125,2022-03-03
week,nation,norge,2020,40-49,female,2020,13,2020-13,2019/2020,36,2020-03-29,144,2022-03-03
week,nation,norge,2020,40-49,male,2020,13,2020-13,2019/2020,36,2020-03-29,120,2022-03-03
week,nation,norge,2020,50-59,female,2020,13,2020-13,2019/2020,36,2020-03-29,160,2022-03-03
week,nation,norge,2020,50-59,male,2020,13,2020-13,2019/2020,36,2020-03-29,183,2022-03-03
week,nation,norge,2020,60-69,female,2020,13,2020-13,2019/2020,36,2020-03-29,124,2022-03-03
week,nation,norge,2020,60-69,male,2020,13,2020-13,2019/2020,36,2020-03-29,127,2022-03-03
week,nation,norge,2020,70-79,female,2020,13,2020-13,2019/2020,36,2020-03-29,89,2022-03-03
week,nation,norge,2020,70-79,male,2020,13,2020-13,2019/2020,36,2020-03-29,93,2022-03-03
week,nation,norge,2020,80-89,female,2020,13,2020-13,2019/2020,36,2020-03-29,48,2022-03-03
week,nation,norge,2020,80-89,male,2020,13,2020-13,2019/2020,36,2020-03-29,44,2022-03-03
week,nation,norge,2020,90+,female,2020,13,2020-13,2019/2020,36,2020-03-29,23,2022-03-03
week,nation,norge,2020,90+,male,2020,13,2020-13,2019/2020,36,2020-03-29,12,2022-03-03
week,nation,norge,2020,0-9,female,2020,14,2020-14,2019/2020,37,2020-04-05,5,2022-03-03
week,nation,norge,2020,0-9,male,2020,14,2020-14,2019/2020,37,2020-04-05,9,2022-03-03
week,nation,norge,2020,10-19,female,2020,14,2020-14,2019/2020,37,2020-04-05,45,2022-03-03
week,nation,norge,2020,10-19,male,2020,14,2020-14,2019/2020,37,2020-04-05,22,2022-03-03
week,nation,norge,2020,20-29,female,2020,14,2020-14,2019/2020,37,2020-04-05,112,2022-03-03
week,nation,norge,2020,20-29,male,2020,14,2020-14,2019/2020,37,2020-04-05,83,2022-03-03
week,nation,norge,2020,30-39,female,2020,14,2020-14,2019/2020,37,2020-04-05,104,2022-03-03
week,nation,norge,2020,30-39,male,2020,14,2020-14,2019/2020,37,2020-04-05,82,2022-03-03
week,nation,norge,2020,40-49,female,2020,14,2020-14,2019/2020,37,2020-04-05,113,2022-03-03
week,nation,norge,2020,40-49,male,2020,14,2020-14,2019/2020,37,2020-04-05,91,2022-03-03
week,nation,norge,2020,50-59,female,2020,14,2020-14,2019/2020,37,2020-04-05,101,2022-03-03
week,nation,norge,2020,50-59,male,2020,14,2020-14,2019/2020,37,2020-04-05,96,2022-03-03
week,nation,norge,2020,60-69,female,2020,14,2020-14,2019/2020,37,2020-04-05,59,2022-03-03
week,nation,norge,2020,60-69,male,2020,14,2020-14,2019/2020,37,2020-04-05,70,2022-03-03
week,nation,norge,2020,70-79,female,2020,14,2020-14,2019/2020,37,2020-04-05,46,2022-03-03
week,nation,norge,2020,70-79,male,2020,14,2020-14,2019/2020,37,2020-04-05,57,2022-03-03
week,nation,norge,2020,80-89,female,2020,14,2020-14,2019/2020,37,2020-04-05,41,2022-03-03
week,nation,norge,2020,80-89,male,2020,14,2020-14,2019/2020,37,2020-04-05,31,2022-03-03
week,nation,norge,2020,90+,female,2020,14,2020-14,2019/2020,37,2020-04-05,17,2022-03-03
week,nation,norge,2020,90+,male,2020,14,2020-14,2019/2020,37,2020-04-05,8,2022-03-03
week,nation,norge,2020,0-9,female,2020,15,2020-15,2019/2020,38,2020-04-12,8,2022-03-03
week,nation,norge,2020,0-9,male,2020,15,2020-15,2019/2020,38,2020-04-12,7,2022-03-03
week,nation,norge,2020,10-19,female,2020,15,2020-15,2019/2020,38,2020-04-12,18,2022-03-03
week,nation,norge,2020,10-19,male,2020,15,2020-15,2019/2020,38,2020-04-12,15,2022-03-03
week,nation,norge,2020,20-29,female,2020,15,2020-15,2019/2020,38,2020-04-12,95,2022-03-03
week,nation,norge,2020,20-29,male,2020,15,2020-15,2019/2020,38,2020-04-12,74,2022-03-03
week,nation,norge,2020,30-39,female,2020,15,2020-15,2019/2020,38,2020-04-12,67,2022-03-03
week,nation,norge,2020,30-39,male,2020,15,2020-15,2019/2020,38,2020-04-12,58,2022-03-03
week,nation,norge,2020,40-49,female,2020,15,2020-15,2019/2020,38,2020-04-12,65,2022-03-03
