granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n
week,nation,norge,2020,20-29,female,2020,24,2020-24,2019/2020,47,2020-06-14,13
week,nation,norge,2020,20-29,female,2020,25,2020-25,2019/2020,48,2020-06-21,18
week,nation,norge,2020,20-29,female,2020,26,2020-26,2019/2020,49,2020-06-28,11
week,nation,norge,2020,20-29,female,2020,27,2020-27,2019/2020,50,2020-07-05,3
week,nation,norge,2020,20-29,female,2020,28,2020-28,2019/2020,51,2020-07-12,12
week,nation,norge,2020,20-29,female,2020,29,2020-29,2019/2020,52,2020-07-19,5
week,nation,norge,2020,20-29,female,2020,30,2020-30,2020/2021,1,2020-07-26,13
week,nation,norge,2020,20-29,female,2020,31,2020-31,2020/2021,2,2020-08-02,19
week,nation,norge,2020,20-29,female,2020,32,2020-32,2020/2021,3,2020-08-09,42
week,nation,norge,2020,20-29,female,2020,33,2020-33,2020/2021,4,2020-08-16,52
week,nation,norge,2020,20-29,female,2020,34,2020-34,2020/2021,5,2020-08-23,51
week,nation,norge,2020,20-29,female,2020,35,2020-35,2020/2021,6,2020-08-30,88
week,nation,norge,2020,20-29,female,2020,36,2020-36,2020/2021,7,2020-09-06,111
week,nation,norge,2020,20-29,female,2020,37,2020-37,2020/2021,8,2020-09-13,134
week,nation,norge,2020,20-29,female,2020,38,2020-38,2020/2021,9,2020-09-20,99
week,nation,norge,2020,20-29,female,2020,39,2020-39,2020/2021,10,2020-09-27,102
week,nation,norge,2020,20-29,female,2020,40,2020-40,2020/2021,11,2020-10-04,100
week,nation,norge,2020,20-29,female,2020,41,2020-41,2020/2021,12,2020-10-11,149
week,nation,norge,2020,20-29,female,2020,42,2020-42,2020/2021,13,2020-10-18,159
week,nation,norge,2020,20-29,female,2020,43,2020-43,2020/2021,14,2020-10-25,202
week,nation,norge,2020,20-29,female,2020,44,2020-44,2020/2021,15,2020-11-01,320
week,nation,norge,2020,20-29,female,2020,45,2020-45,2020/2021,16,2020-11-08,359
week,nation,norge,2020,20-29,female,2020,46,2020-46,2020/2021,17,2020-11-15,383
week,nation,norge,2020,20-29,female,2020,47,2020-47,2020/2021,18,2020-11-22,350
week,nation,norge,2020,20-29,female,2020,48,2020-48,2020/2021,19,2020-11-29,260
week,nation,norge,2020,20-29,female,2020,49,2020-49,2020/2021,20,2020-12-06,228
week,nation,norge,2020,20-29,female,2020,50,2020-50,2020/2021,21,2020-12-13,269
week,nation,norge,2020,20-29,female,2020,51,2020-51,2020/2021,22,2020-12-20,262
week,nation,norge,2020,20-29,female,2020,52,2020-52,2020/2021,23,2020-12-27,312
week,nation,norge,2020,20-29,female,2020,53,2020-53,2020/2021,23.5,2021-01-03,411
week,nation,norge,2020,20-29,female,2021,1,2021-01,2020/2021,24,2021-01-10,467
week,nation,norge,2020,20-29,male,2020,8,2020-08,2019/2020,31,2020-02-23,0
week,nation,norge,2020,20-29,male,2020,9,2020-09,2019/2020,32,2020-03-01,2
week,nation,norge,2020,20-29,male,2020,10,2020-10,2019/2020,33,2020-03-08,9
week,nation,norge,2020,20-29,male,2020,11,2020-11,2019/2020,34,2020-03-15,76
week,nation,norge,2020,20-29,male,2020,12,2020-12,2019/2020,35,2020-03-22,62
week,nation,norge,2020,20-29,male,2020,13,2020-13,2019/2020,36,2020-03-29,91
week,nation,norge,2020,20-29,male,2020,14,2020-14,2019/2020,37,2020-04-05,83
week,nation,norge,2020,20-29,male,2020,15,2020-15,2019/2020,38,2020-04-12,74
week,nation,norge,2020,20-29,male,2020,16,2020-16,2019/2020,39,2020-04-19,59
week,nation,norge,2020,20-29,male,2020,17,2020-17,2019/2020,40,2020-04-26,49
week,nation,norge,2020,20-29,male,2020,18,2020-18,2019/2020,41,2020-05-03,30
week,nation,norge,2020,20-29,male,2020,19,2020-19,2019/2020,42,2020-05-10,18
week,nation,norge,2020,20-29,male,2020,20,2020-20,2019/2020,43,2020-05-17,5
week,nation,norge,2020,20-29,male,2020,21,2020-21,2019/2020,44,2020-05-24,17
week,nation,norge,2020,20-29,male,2020,22,2020-22,2019/2020,45,2020-05-31,12
week,nation,norge,2020,20-29,male,2020,23,2020-23,2019/2020,46,2020-06-07,17
week,nation,norge,2020,20-29,male,2020,24,2020-24,2019/2020,47,2020-06-14,10
week,nation,norge,2020,20-29,male,2020,25,2020-25,2019/2020,48,2020-06-21,16
week,nation,norge,2020,20-29,male,2020,26,2020-26,2019/2020,49,2020-06-28,14
week,nation,norge,2020,20-29,male,2020,27,2020-27,2019/2020,50,2020-07-05,7
week,nation,norge,2020,20-29,male,2020,28,2020-28,2019/2020,51,2020-07-12,6
week,nation,norge,2020,20-29,male,2020,29,2020-29,2019/2020,52,2020-07-19,5
week,nation,norge,2020,20-29,male,2020,30,2020-30,2020/2021,1,2020-07-26,15
week,nation,norge,2020,20-29,male,2020,31,2020-31,2020/2021,2,2020-08-02,28
week,nation,norge,2020,20-29,male,2020,32,2020-32,2020/2021,3,2020-08-09,94
week,nation,norge,2020,20-29,male,2020,33,2020-33,2020/2021,4,2020-08-16,57
week,nation,norge,2020,20-29,male,2020,34,2020-34,2020/2021,5,2020-08-23,57
week,nation,norge,2020,20-29,male,2020,35,2020-35,2020/2021,6,2020-08-30,93
week,nation,norge,2020,20-29,male,2020,36,2020-36,2020/2021,7,2020-09-06,142
week,nation,norge,2020,20-29,male,2020,37,2020-37,2020/2021,8,2020-09-13,111
week,nation,norge,2020,20-29,male,2020,38,2020-38,2020/2021,9,2020-09-20,118
week,nation,norge,2020,20-29,male,2020,39,2020-39,2020/2021,10,2020-09-27,119
week,nation,norge,2020,20-29,male,2020,40,2020-40,2020/2021,11,2020-10-04,120
week,nation,norge,2020,20-29,male,2020,41,2020-41,2020/2021,12,2020-10-11,218
