granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,location_name
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-30,0,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,2,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-01,4,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-02,16,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-03,0,Oslo
day,county,county11,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-21,0,Rogaland
day,county,county11,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-22,0,Rogaland
day,county,county11,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-23,0,Rogaland
day,county,county11,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-24,0,Rogaland
day,county,county11,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-25,0,Rogaland
day,county,county11,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-26,0,Rogaland
day,county,county11,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-27,0,Rogaland
day,county,county11,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-28,0,Rogaland
day,county,county11,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-29,2,Rogaland
day,county,county11,2020,total,total,2020,9,2020-09,2019/2020,32,2020-03-01,0,Rogaland
day,county,county11,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-02,2,Rogaland
day,county,county11,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-03,2,Rogaland
day,county,county11,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-04,2,Rogaland
day,county,county11,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-05,4,Rogaland
day,county,county11,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-06,4,Rogaland
day,county,county11,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-07,4,Rogaland
day,county,county11,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,11,Rogaland
day,county,county11,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-09,40,Rogaland
day,county,county11,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-10,34,Rogaland
day,county,county11,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-11,27,Rogaland
day,county,county11,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-12,19,Rogaland
day,county,county11,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-13,11,Rogaland
day,county,county11,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-14,2,Rogaland
day,county,county11,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,8,Rogaland
day,county,county11,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-16,15,Rogaland
day,county,county11,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-17,16,Rogaland
day,county,county11,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-18,17,Rogaland
day,county,county11,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,23,Rogaland
day,county,county11,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,24,Rogaland
day,county,county11,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,7,Rogaland
day,county,county11,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,3,Rogaland
day,county,county11,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,18,Rogaland
day,county,county11,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,14,Rogaland
day,county,county11,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,7,Rogaland
day,county,county11,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,10,Rogaland
day,county,county11,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,8,Rogaland
day,county,county11,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,11,Rogaland
day,county,county11,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,4,Rogaland
day,county,county11,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,9,Rogaland
day,county,county11,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,3,Rogaland
day,county,county11,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,6,Rogaland
