granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,municip,municip1868,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3413,3146,1018,77.3,71.2,23.1,4416,Øksnes,2021-12-23
total,municip,municip1870,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8303,7639,2480,79,72.7,23.6,10514,Sortland,2021-12-23
total,municip,municip1871,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3750,3512,1477,81.7,76.5,32.2,4588,Andøy,2021-12-23
total,municip,municip1874,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,804,750,373,81.3,75.8,37.7,989,Moskenes,2021-12-23
total,municip,municip1875,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2204,2050,909,81.6,75.9,33.7,2701,Hamarøy,2021-12-23
total,municip,municip3001,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25110,23116,8514,80,73.6,27.1,31387,Halden,2021-12-23
total,municip,municip3002,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,40693,37300,15818,81.9,75.1,31.8,49668,Moss,2021-12-23
total,municip,municip3003,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,46359,42408,20359,80.8,73.9,35.5,57372,Sarpsborg,2021-12-23
total,municip,municip3004,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,66155,60370,24810,79.5,72.6,29.8,83193,Fredrikstad,2021-12-23
total,municip,municip3005,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,78579,71192,27264,77.1,69.9,26.8,101859,Drammen,2021-12-23
total,municip,municip3006,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22161,20175,8046,80,72.8,29.1,27694,Kongsberg,2021-12-23
total,municip,municip3007,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,24786,22822,7765,80.4,74,25.2,30835,Ringerike,2021-12-23
total,municip,municip3011,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4076,3826,1899,86.8,81.5,40.5,4694,Hvaler,2021-12-23
total,municip,municip3012,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1122,1062,399,84.7,80.2,30.1,1325,Aremark,2021-12-23
