granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,n_hospital_all_causes,date_of_publishing
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,2,14,18,2022-03-15
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,2,22,28,2022-03-15
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,2,10,13,2022-03-15
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,2,6,8,2022-03-15
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,2,11,13,2022-03-15
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,1,9,11,2022-03-15
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,0,10,12,2022-03-15
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,2,11,15,2022-03-15
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,4,12,19,2022-03-15
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,3,4,5,2022-03-15
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,1,15,19,2022-03-15
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,2,9,10,2022-03-15
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,3,5,9,2022-03-15
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,1,5,6,2022-03-15
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,1,4,7,2022-03-15
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,3,8,10,2022-03-15
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,4,5,6,2022-03-15
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,2,8,10,2022-03-15
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,1,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,1,6,7,2022-03-15
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,1,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-28,1,7,8,2022-03-15
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,0,0,2,2022-03-15
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,1,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,1,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,1,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,1,4,6,2022-03-15
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,1,1,4,2022-03-15
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-11,1,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-12,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-13,0,3,4,2022-03-15
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-14,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-15,1,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-16,1,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,0,0,1,2022-03-15
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-18,0,5,6,2022-03-15
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-19,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-20,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-21,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-22,1,1,1,2022-03-15
