granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,pop,pr100000,location_name
total,municip,municip1838,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,0,1950,0,Gildeskål
total,municip,municip1839,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1,1017,98.3284169124877,Beiarn
total,municip,municip1840,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1,4671,21.4086919289231,Saltdal
total,municip,municip1841,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27,9739,277.235855837355,Fauske
total,municip,municip1845,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1,1926,51.9210799584631,Sørfold
total,municip,municip1848,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3,2608,115.030674846626,Steigen
total,municip,municip1851,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2,2034,98.3284169124877,Lødingen
total,municip,municip1853,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,0,1348,0,Evenes
total,municip,municip1856,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,0,498,0,Røst
total,municip,municip1857,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,0,728,0,Værøy
total,municip,municip1859,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7,1272,550.314465408805,Flakstad
total,municip,municip1860,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,36,11433,314.877984780897,Vestvågøy
total,municip,municip1865,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4,9608,41.6319733555371,Vågan
total,municip,municip1866,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6,8061,74.4324525493115,Hadsel
total,municip,municip1867,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,0,2569,0,Bø
total,municip,municip1868,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2,4410,45.3514739229025,Øksnes
total,municip,municip1870,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,11,10566,104.107514669695,Sortland
total,municip,municip1871,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4,4663,85.7816856101223,Andøy
total,municip,municip1874,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7,1015,689.655172413793,Moskenes
total,municip,municip1875,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1,2766,36.1532899493854,Hamarøy
total,municip,municip3001,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,85,31373,270.933605329423,Halden
total,municip,municip3002,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,229,49273,464.757575142573,Moss
total,municip,municip3003,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,267,56732,470.633857434957,Sarpsborg
total,municip,municip3004,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,417,82385,506.160101960308,Fredrikstad
total,municip,municip3005,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,350,101386,345.215315724064,Drammen
total,municip,municip3006,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,56,27723,201.998340727915,Kongsberg
total,municip,municip3007,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,48,30641,156.652850755524,Ringerike
total,municip,municip3011,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6,4668,128.53470437018,Hvaler
total,municip,municip3012,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4,1325,301.88679245283,Aremark
total,municip,municip3013,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,8,3595,222.531293463143,Marker
total,municip,municip3014,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,254,44792,567.065547419182,Indre Østfold
total,municip,municip3015,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7,3805,183.968462549277,Skiptvet
total,municip,municip3016,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,33,8255,399.757722592368,Rakkestad
total,municip,municip3017,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14,7508,186.467767714438,Råde
total,municip,municip3018,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,12,5736,209.205020920502,Våler
