granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,municip,municip5427,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2121,1937,45,73.3,67,1.6,2893,Skjervøy,2021-11-22
total,municip,municip5428,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3837,3491,120,79.7,72.5,2.5,4812,Nordreisa,2021-11-22
total,municip,municip5429,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,942,872,12,80.8,74.8,1,1166,Kvænangen,2021-11-22
total,municip,municip5430,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2096,1914,197,71.8,65.5,6.7,2920,Guovdageaidnu - Kautokeino,2021-11-22
total,municip,municip5432,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,700,655,131,81.4,76.2,15.2,860,Loppa,2021-11-22
total,municip,municip5433,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,694,637,80,70.6,64.8,8.1,983,Hasvik,2021-11-22
total,municip,municip5434,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,876,766,66,73.2,64,5.5,1197,Måsøy,2021-11-22
total,municip,municip5435,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2392,2185,249,77.8,71.1,8.1,3075,Nordkapp,2021-11-22
total,municip,municip5436,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3074,2750,47,78.4,70.1,1.2,3921,Porsanger - Porsáŋgu - Porsanki,2021-11-22
total,municip,municip5437,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2084,1958,42,78.9,74.1,1.6,2641,Kárášjohka - Karasjok,2021-11-22
total,municip,municip5438,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,866,802,54,68.1,63.1,4.2,1271,Lebesby,2021-11-22
total,municip,municip5439,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,752,689,108,68.6,62.8,9.8,1097,Gamvik,2021-11-22
total,municip,municip5440,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,717,650,101,77.3,70,10.9,928,Berlevåg,2021-11-22
total,municip,municip5441,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2162,1998,317,76.4,70.6,11.2,2829,Deatnu - Tana,2021-11-22
total,municip,municip5442,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,684,635,43,77.7,72.2,4.9,880,Unjárga - Nesseby,2021-11-22
total,municip,municip5443,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1512,1384,204,68.7,62.9,9.3,2200,Båtsfjord,2021-11-22
total,municip,municip5444,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8175,7423,1114,80.9,73.5,11,10103,Sør-Varanger,2021-11-22
total,nation,norge,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4228840,3794614,360867,78.4,70.4,6.7,5391369,Norge,2021-11-22
