granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
isoweek,nation,norge,2020,total,total,2020,36,2020-36,2020/2021,7,2020-09-06,1,2022-05-19
isoweek,nation,norge,2020,total,total,2020,37,2020-37,2020/2021,8,2020-09-13,2,2022-05-19
isoweek,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-20,3,2022-05-19
isoweek,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-27,5,2022-05-19
isoweek,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-04,2,2022-05-19
isoweek,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-11,2,2022-05-19
isoweek,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-18,1,2022-05-19
isoweek,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-25,3,2022-05-19
isoweek,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-11-01,2,2022-05-19
isoweek,nation,norge,2020,total,total,2020,45,2020-45,2020/2021,16,2020-11-08,10,2022-05-19
isoweek,nation,norge,2020,total,total,2020,46,2020-46,2020/2021,17,2020-11-15,10,2022-05-19
isoweek,nation,norge,2020,total,total,2020,47,2020-47,2020/2021,18,2020-11-22,21,2022-05-19
isoweek,nation,norge,2020,total,total,2020,48,2020-48,2020/2021,19,2020-11-29,31,2022-05-19
isoweek,nation,norge,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-06,23,2022-05-19
isoweek,nation,norge,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-13,25,2022-05-19
isoweek,nation,norge,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-20,17,2022-05-19
isoweek,nation,norge,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,25,2022-05-19
isoweek,nation,norge,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-03,30,2022-05-19
isoweek,nation,norge,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-10,37,2022-05-19
isoweek,nation,norge,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-17,34,2022-05-19
isoweek,nation,norge,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-24,20,2022-05-19
isoweek,nation,norge,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-31,24,2022-05-19
isoweek,nation,norge,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-07,17,2022-05-19
isoweek,nation,norge,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-14,18,2022-05-19
isoweek,nation,norge,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-21,11,2022-05-19
isoweek,nation,norge,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-28,8,2022-05-19
isoweek,nation,norge,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-07,6,2022-05-19
isoweek,nation,norge,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-14,10,2022-05-19
isoweek,nation,norge,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-21,13,2022-05-19
isoweek,nation,norge,2020,total,total,2021,12,2021-12,2020/2021,35,2021-03-28,18,2022-05-19
isoweek,nation,norge,2020,total,total,2021,13,2021-13,2020/2021,36,2021-04-04,18,2022-05-19
isoweek,nation,norge,2020,total,total,2021,14,2021-14,2020/2021,37,2021-04-11,24,2022-05-19
isoweek,nation,norge,2020,total,total,2021,15,2021-15,2020/2021,38,2021-04-18,24,2022-05-19
isoweek,nation,norge,2020,total,total,2021,16,2021-16,2020/2021,39,2021-04-25,13,2022-05-19
isoweek,nation,norge,2020,total,total,2021,17,2021-17,2020/2021,40,2021-05-02,16,2022-05-19
isoweek,nation,norge,2020,total,total,2021,18,2021-18,2020/2021,41,2021-05-09,5,2022-05-19
isoweek,nation,norge,2020,total,total,2021,19,2021-19,2020/2021,42,2021-05-16,8,2022-05-19
isoweek,nation,norge,2020,total,total,2021,20,2021-20,2020/2021,43,2021-05-23,3,2022-05-19
isoweek,nation,norge,2020,total,total,2021,21,2021-21,2020/2021,44,2021-05-30,2,2022-05-19
isoweek,nation,norge,2020,total,total,2021,22,2021-22,2020/2021,45,2021-06-06,4,2022-05-19
isoweek,nation,norge,2020,total,total,2021,23,2021-23,2020/2021,46,2021-06-13,1,2022-05-19
isoweek,nation,norge,2020,total,total,2021,24,2021-24,2020/2021,47,2021-06-20,1,2022-05-19
isoweek,nation,norge,2020,total,total,2021,25,2021-25,2020/2021,48,2021-06-27,3,2022-05-19
isoweek,nation,norge,2020,total,total,2021,26,2021-26,2020/2021,49,2021-07-04,2,2022-05-19
isoweek,nation,norge,2020,total,total,2021,27,2021-27,2020/2021,50,2021-07-11,0,2022-05-19
isoweek,nation,norge,2020,total,total,2021,28,2021-28,2020/2021,51,2021-07-18,2,2022-05-19
isoweek,nation,norge,2020,total,total,2021,29,2021-29,2020/2021,52,2021-07-25,1,2022-05-19
isoweek,nation,norge,2020,total,total,2021,30,2021-30,2021/2022,1,2021-08-01,4,2022-05-19
isoweek,nation,norge,2020,total,total,2021,31,2021-31,2021/2022,2,2021-08-08,4,2022-05-19
isoweek,nation,norge,2020,total,total,2021,32,2021-32,2021/2022,3,2021-08-15,5,2022-05-19
isoweek,nation,norge,2020,total,total,2021,33,2021-33,2021/2022,4,2021-08-22,4,2022-05-19
isoweek,nation,norge,2020,total,total,2021,34,2021-34,2021/2022,5,2021-08-29,10,2022-05-19
isoweek,nation,norge,2020,total,total,2021,35,2021-35,2021/2022,6,2021-09-05,6,2022-05-19
isoweek,nation,norge,2020,total,total,2021,36,2021-36,2021/2022,7,2021-09-12,18,2022-05-19
isoweek,nation,norge,2020,total,total,2021,37,2021-37,2021/2022,8,2021-09-19,16,2022-05-19
isoweek,nation,norge,2020,total,total,2021,38,2021-38,2021/2022,9,2021-09-26,13,2022-05-19
isoweek,nation,norge,2020,total,total,2021,39,2021-39,2021/2022,10,2021-10-03,9,2022-05-19
isoweek,nation,norge,2020,total,total,2021,40,2021-40,2021/2022,11,2021-10-10,10,2022-05-19
isoweek,nation,norge,2020,total,total,2021,41,2021-41,2021/2022,12,2021-10-17,10,2022-05-19
isoweek,nation,norge,2020,total,total,2021,42,2021-42,2021/2022,13,2021-10-24,14,2022-05-19
