granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,date_of_publishing
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-10,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-11,2,2,2022-07-27
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-12,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-13,1,0,2022-07-27
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-14,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-15,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-16,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-17,0,3,2022-07-27
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-18,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-19,2,1,2022-07-27
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-20,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-21,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-22,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-23,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-24,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-25,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-26,0,3,2022-07-27
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-27,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-28,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-06-29,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-06-30,1,2,2022-07-27
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-01,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-02,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-03,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-04,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-05,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-06,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-07,1,0,2022-07-27
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-08,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-09,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-10,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-11,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-12,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-13,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-14,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-15,0,1,2022-07-27
